"Monthly retail trade sales by province and territory (x 1,000) 1 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 20-10-0056-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North American Industry Classification System (NAICS),Retail trade  [44-45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales,Total retail sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustments,Seasonally adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,January 2017,Symbol,February 2017,Symbol,March 2017,Symbol,April 2017,Symbol,May 2017,Symbol,June 2017,Symbol,July 2017,Symbol,August 2017,Symbol,September 2017,Symbol,October 2017,Symbol,November 2017,Symbol,December 2017,Symbol,January 2018,Symbol,February 2018,Symbol,March 2018,Symbol,April 2018,Symbol,May 2018,Symbol,June 2018,Symbol,July 2018,Symbol,August 2018,Symbol,September 2018,Symbol,October 2018,Symbol,November 2018,Symbol,December 2018,Symbol,January 2019,Symbol,February 2019,Symbol,March 2019,Symbol,April 2019,Symbol,May 2019,Symbol,June 2019,Symbol,July 2019,Symbol,August 2019,Symbol,September 2019,Symbol,October 2019,Symbol,November 2019,Symbol,December 2019,Symbol,January 2020,Symbol,February 2020,Symbol,March 2020,Symbol,April 2020,Symbol,May 2020,Symbol,June 2020,Symbol,July 2020,Symbol,August 2020,Symbol,September 2020,Symbol,October 2020,Symbol,November 2020,Symbol,December 2020,Symbol,January 2021,Symbol,February 2021,Symbol,March 2021,Symbol,April 2021,Symbol,May 2021,Symbol,June 2021,Symbol,July 2021,Symbol,August 2021,Symbol,September 2021,Symbol,October 2021,Symbol,November 2021,Symbol,December 2021,Symbol,January 2022,Symbol,February 2022,Symbol,March 2022,Symbol,April 2022,Symbol,May 2022,Symbol,June 2022,Symbol,July 2022,Symbol,August 2022,Symbol,September 2022,Symbol,October 2022,Symbol,November 2022,Symbol,December 2022,Symbol,January 2023,Symbol,February 2023,Symbol,March 2023,Symbol,April 2023,Symbol,May 2023,Symbol,June 2023,Symbol,July 2023,Symbol,August 2023,Symbol,September 2023,Symbol
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,50417235,C,49863452,C,49937420,C,50827438,C,50711634,C,50762624,C,50879002,C,51011588,C,51040384,C,52522532,C,52139092,C,52310573,C,52271446,C,52035465,C,51946965,C,52101777,C,53447083,C,53287940,C,53096102,C,53376429,C,53634932,C,53859258,C,52976270,C,53386574,C,52907965,C,52997482,C,53627744,C,53786070,C,54093066,C,53802084,C,54381960,C,54350184,C,54363245,C,53625470,C,54040294,C,55349866,C,54766826,C,54883732,C,48747130,C,37510193,C,45879295,C,55865245,C,56326616,C,56162955,C,57934445,C,58442729,C,58636541,C,56577919,C,55354791,C,58905155,C,61537941,C,58406933,C,56948949,C,59438106,C,60101611,C,61087396,C,60681551,C,61618648,C,62351220,C,61774827,C,63237357,C,63589489,C,63757715,C,64027005,C,65719334,C,66308505,C,64824985,C,65011265,C,64709375,C,65522933,C,65406852,A,65432468,A,66378251,A,66134803,A,65117274,A,65787527,A,65823538,A,65870777,A,66132269,A,66086731,A,66463071,A
Newfoundland and Labrador,800919,C,784274,C,767324,C,764090,C,777538,C,781018,C,757795,C,772502,C,791890,C,812403,C,789652,C,784523,C,762943,C,773106,C,773804,C,778259,C,772133,C,751625,C,773232,C,781314,C,768373,C,756467,C,747536,C,763458,C,753576,C,747311,C,787285,C,736408,C,741629,C,759945,C,780380,C,780742,C,779402,C,802997,C,768645,C,776500,C,752756,C,789626,C,733166,C,571892,C,719719,C,852095,C,836779,C,832782,C,826467,C,821404,C,862313,C,779813,C,862577,C,817851,C,863908,C,900549,C,872782,C,845138,C,845046,C,858331,C,883374,C,890968,C,912503,C,869030,C,927147,C,903733,C,915525,C,920444,C,934566,C,913765,C,941916,C,958844,C,942387,C,967901,C,941705,B,952611,A,980716,A,973441,A,933420,A,895532,A,975940,A,934164,A,982689,A,945866,A,945446,B
Prince Edward Island,199509,C,192843,C,199423,C,201039,C,198471,C,196269,C,203365,C,199877,C,200176,C,208121,C,209302,C,212043,C,208109,C,209249,C,202365,C,201254,C,210235,C,209637,C,209566,C,210615,C,211392,C,208867,C,205706,C,208445,C,206503,C,209353,C,215656,C,215172,C,208062,C,213808,C,222219,C,226375,C,219114,C,216052,C,215800,C,221410,C,223064,C,222779,C,191076,C,162062,C,195043,C,224313,C,217289,C,223930,C,237478,C,235761,C,243932,C,233292,C,249378,C,265301,C,257417,C,268628,C,248608,C,249426,C,248305,C,262021,C,262794,C,269027,C,265851,C,263122,C,270363,C,270626,C,268194,C,269014,C,281040,C,286693,C,288846,C,281978,C,278225,C,292067,C,291303,B,288985,A,297691,A,302847,B,287333,B,284482,B,296538,A,293282,A,298363,A,304032,A,306566,B
Nova Scotia,1338447,C,1291331,C,1332297,C,1339876,C,1363924,C,1383907,C,1378193,C,1375351,C,1369070,C,1406108,C,1418089,C,1401558,C,1362535,C,1394547,C,1353712,C,1400903,C,1396148,C,1364163,C,1384346,C,1391138,C,1374678,C,1390434,C,1322764,C,1386039,C,1398788,C,1365649,C,1413303,C,1409972,C,1394098,C,1413255,C,1445191,C,1417554,C,1429428,C,1401457,C,1408389,C,1430311,C,1456782,C,1410091,C,1227529,C,980233,C,1196015,C,1419718,C,1419695,C,1482104,C,1457206,C,1494673,C,1521433,C,1458343,C,1565980,C,1588030,C,1613514,C,1603444,C,1404704,C,1615563,C,1586302,C,1637337,C,1695065,C,1659974,C,1656711,C,1638608,C,1610536,C,1707012,C,1679126,C,1689162,C,1739422,C,1723020,C,1748232,C,1714108,C,1688605,C,1779588,C,1774502,A,1751762,A,1820428,A,1766190,A,1723791,A,1795273,A,1775227,A,1761118,A,1726339,A,1761596,A,1775770,A
New Brunswick,1049815,C,1062497,C,1054798,C,1067218,C,1103307,C,1059621,C,1062811,C,1057142,C,1087907,C,1106071,C,1105305,C,1109544,C,1080622,C,1080177,C,1060407,C,1069299,C,1105668,C,1078425,C,1112654,C,1112179,C,1138811,C,1121273,C,1089678,C,1114144,C,1089235,C,1096385,C,1127838,C,1114457,C,1104408,C,1121287,C,1099595,C,1144392,C,1110824,C,1147604,C,1138206,C,1149222,C,1172337,C,1153319,C,997285,C,838365,C,1041301,C,1179343,C,1179288,C,1191094,C,1260507,C,1191818,C,1208848,C,1163564,C,1242896,C,1239230,C,1260500,C,1321915,C,1272113,C,1239730,C,1251852,C,1279397,C,1272969,C,1289208,C,1328449,C,1310467,C,1333776,C,1336770,C,1342349,C,1340707,C,1404213,C,1383800,C,1401075,C,1368487,C,1379997,C,1442466,C,1390284,A,1376248,A,1385819,A,1489028,A,1351657,A,1400548,A,1401408,A,1440752,A,1454691,A,1446356,A,1443041,A
Quebec,10709589,C,10526893,C,10366074,C,10861159,C,10597288,C,10622609,C,10706696,C,10680257,C,10642318,C,11101171,C,10972440,C,11152991,C,10978276,C,10944079,C,11075244,C,10963794,C,11378025,C,11231527,C,11271759,C,11231156,C,11341983,C,11523743,C,11207404,C,11292835,C,11163366,C,11300910,C,11428147,C,11247295,C,11467525,C,11312376,C,11435129,C,11394962,C,11533892,C,11370798,C,11402632,C,11548840,C,11637065,C,11541589,C,9690761,C,7156634,C,10075298,C,12330326,C,12330224,C,12526478,C,12521173,C,12638054,C,12942128,C,12122076,C,10872351,C,13001530,C,13770821,C,13497115,C,13030789,C,12902224,C,13070247,C,13314189,C,13433397,C,13432133,C,13564550,C,13433274,C,14036098,C,14033311,C,13895189,C,13896378,C,14433076,C,14232987,C,14221299,C,14351635,C,14138462,C,14506705,C,14458071,A,14484510,A,14618704,A,14798435,A,14629014,A,14718248,A,14488951,A,14698719,A,14919515,A,14905409,A,14971682,A
Ontario,18742688,C,18703958,C,18903337,C,19222214,C,19082390,C,18995152,C,19055251,C,19241152,C,19173367,C,19568947,C,19623448,C,19616052,C,19841693,C,19783552,C,19793528,C,19649640,C,20168123,C,20408902,C,20207206,C,20509244,C,20565224,C,20796206,C,20252252,C,20313057,C,20208460,C,20303537,C,20332648,C,20709633,C,20829825,C,20895556,C,21159166,C,21038507,C,21167994,C,20499721,C,21026654,C,21595758,C,21049992,C,21346929,C,19269774,C,13872265,C,16067187,C,21331955,C,21353115,C,21239216,C,21964993,C,22329049,C,22118722,C,21125041,C,20315532,C,21557586,C,23304023,C,20299921,C,19659987,C,22252145,C,22807421,C,23343852,C,22680994,C,23214883,C,23612247,C,23407271,C,24234561,C,24310029,C,24449807,C,24616762,C,25024064,C,26018417,C,24384537,C,24320748,C,24553180,C,24490479,C,24433107,A,24556102,A,24703125,A,24936661,A,24407457,A,24737279,A,24485298,A,24818754,A,24711873,A,24689039,A,24767720,A
Manitoba,1749096,C,1733320,C,1727275,C,1748527,C,1756835,C,1689244,C,1694162,C,1727144,C,1702710,C,1758426,C,1764535,C,1743638,C,1838483,C,1694954,C,1736813,C,1751519,C,1773933,C,1784074,C,1760379,C,1798816,C,1818321,C,1766504,C,1762589,C,1803490,C,1780119,C,1801391,C,1798062,C,1810109,C,1790053,C,1783362,C,1798179,C,1780389,C,1764511,C,1780268,C,1772016,C,1811259,C,1824178,C,1809224,C,1643632,C,1330536,C,1696389,C,1871158,C,1927667,C,1908406,C,1951589,C,1952929,C,1824569,C,1715339,C,1945244,C,2076739,C,2127715,C,1965877,C,1994860,C,1984991,C,1992240,C,2015566,C,2003697,C,2086672,C,2053418,C,2067791,C,2090269,C,2144870,C,2161744,C,2083495,C,2229843,C,2214811,C,2210276,C,2231006,C,2209132,C,2260312,C,2288205,A,2275146,A,2369089,A,2234486,A,2215969,A,2224585,A,2273037,A,2198507,A,2195423,A,2232034,A,2259798,B
Saskatchewan,1651544,C,1659959,C,1679639,C,1626696,C,1632421,C,1630278,C,1646244,C,1667903,C,1623424,C,1725005,C,1710429,C,1716063,C,1699562,C,1684505,C,1552425,C,1672210,C,1683830,C,1714809,C,1707628,C,1641798,C,1686586,C,1663185,C,1658371,C,1673403,C,1651713,C,1682914,C,1695987,C,1718868,C,1706809,C,1648872,C,1683092,C,1700700,C,1706608,C,1684257,C,1660538,C,1735903,C,1734530,C,1705543,C,1510816,C,1344171,C,1563768,C,1746464,C,1788159,C,1779502,C,1788428,C,1776035,C,1774420,C,1806718,C,1846647,C,1848061,C,1892493,C,1915196,C,1977178,C,1918460,C,1922809,C,1966516,C,1938499,C,2004112,C,2055712,C,2025964,C,2016840,C,2049255,C,2024775,C,2048833,C,2070236,C,2110529,C,2069413,C,2110437,C,2119847,C,2172581,C,2160407,A,2140771,A,2197969,A,2097761,A,2059956,A,2074041,A,2018136,A,2058633,A,2078142,A,2086328,A,2148086,A
Alberta,6726992,C,6755541,C,6696621,C,6731946,C,6794861,C,6845782,C,6795728,C,6758273,C,6870429,C,6984728,C,6897129,C,6871052,C,6917447,C,6884324,C,6830192,C,6867732,C,7168885,C,7007217,C,6978264,C,6995013,C,7030299,C,6894852,C,7013254,C,7053815,C,6849274,C,6846332,C,7004759,C,7094556,C,7032082,C,6959217,C,7022772,C,7003906,C,6851074,C,6934850,C,6833655,C,7069474,C,7085925,C,6977325,C,6029524,C,5041813,C,6201495,C,7002528,C,7122454,C,6763261,C,7446375,C,7393295,C,7476623,C,7433410,C,7523283,C,7599828,C,7513659,C,7626109,C,7496484,C,7577431,C,7484188,C,7535652,C,7603596,C,7829629,C,7963697,C,7780095,C,7679581,C,7794531,C,7969592,C,7989056,C,8305570,C,8121051,C,8302778,C,8312320,C,8205353,C,8335571,C,8360709,A,8431294,A,8663913,A,8488163,A,8384050,A,8442229,A,8570667,A,8446955,A,8418222,A,8481577,A,8559673,A
British Columbia,7277591,C,6979447,C,7041783,C,7097179,C,7231238,C,7386505,C,7406444,C,7362373,C,7408205,C,7672275,C,7467284,C,7515551,C,7398388,C,7414089,C,7393743,C,7567765,C,7609988,C,7554814,C,7506840,C,7521946,C,7511801,C,7557942,C,7534630,C,7596712,C,7623010,C,7460788,C,7637540,C,7542317,C,7631488,C,7510125,C,7551448,C,7674922,C,7613130,C,7600067,C,7631816,C,7828135,C,7642483,C,7736031,C,7265885,C,6033912,C,6922822,C,7708518,C,7947731,C,8009786,C,8273288,C,8401041,C,8450358,C,8524584,C,8719832,C,8701420,C,8720633,C,8795086,C,8783883,C,8649690,C,8686801,C,8666924,C,8703469,C,8732561,C,8727947,C,8764794,C,8827284,C,8832092,C,8840646,C,8959229,C,9079182,C,9078781,C,9041067,C,9144939,C,8978529,C,9054851,C,9092190,A,8960346,A,9115422,A,8823549,A,8907392,A,8993988,A,9312942,A,8996690,A,9113592,A,9020529,A,9060815,A
Yukon,66032,C,66066,C,68277,C,66765,C,68089,C,67665,C,69222,C,65792,C,68199,C,74288,C,77164,C,80082,C,72335,C,67627,C,69298,C,72800,C,74277,C,75411,C,75911,C,77065,C,77431,C,72261,C,73982,C,74664,C,73253,C,72012,C,76541,C,78306,C,78740,C,77525,C,78581,C,78648,C,77313,C,76551,C,72850,C,75283,C,77684,C,78694,C,76114,C,65797,C,73441,C,75198,C,77469,C,78255,C,80451,C,84676,C,85732,C,84402,C,83433,C,84665,C,83979,C,84623,C,86091,C,80091,C,81279,C,83592,C,84931,C,85909,C,85246,C,87337,C,86483,C,86471,C,88760,C,88900,C,91332,C,97515,C,92718,C,92845,C,89043,C,90847,C,90625,A,89672,A,96548,B,94197,B,92233,B,94491,A,96369,A,98876,A,106379,B,104195,B,96394,A
Northwest Territories,65317,C,65745,C,65613,C,63711,C,66732,C,66558,C,66909,C,68227,C,66192,C,67616,C,67956,C,71062,C,70699,C,68003,C,68842,C,69176,C,69689,C,68880,C,68905,C,66643,C,70426,C,68567,C,68362,C,67340,C,69874,C,69771,C,68637,C,67990,C,67294,C,66687,C,65515,C,67379,C,69137,C,68504,C,66971,C,66631,C,68809,C,71584,C,68894,C,62612,C,75116,C,74249,C,78153,C,79255,C,77544,C,77240,C,80479,C,80499,C,80023,C,77909,C,82525,C,81628,C,73538,C,76033,C,77315,C,77007,C,72566,C,76360,C,77647,C,78627,C,74289,C,72514,C,75095,C,76390,C,79560,C,79997,C,75487,C,75755,C,78038,C,78987,C,75116,A,75236,A,78968,B,78786,A,75055,A,76584,B,79108,A,75006,A,76526,B,58027,B,73453,B
Nunavut,39696,C,41580,C,34958,C,37019,C,38539,C,38015,C,36182,C,35596,C,36498,C,37371,C,36357,C,36413,C,40353,C,37253,C,36592,C,37425,C,36149,C,38458,C,39414,C,39503,C,39607,C,38957,C,39742,C,39172,C,40793,C,41129,C,41340,C,40988,C,41054,C,40070,C,40694,C,41707,C,40817,C,42343,C,42122,C,41142,C,41221,C,40998,C,42674,C,49899,C,51701,C,49381,C,48593,C,48885,C,48946,C,46755,C,46982,C,50839,C,47617,C,47005,C,46753,C,46843,C,47932,C,47182,C,47806,C,47013,C,46198,C,47210,C,47242,C,48448,C,50130,C,48275,C,46914,C,48635,C,47230,C,47139,C,47341,C,48163,C,48576,C,50578,C,50626,A,49783,A,49857,A,51259,A,49949,A,50247,A,49915,A,49320,A,50517,A,51743,A,54628,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A, data quality: excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B, data quality: very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,This table replaces table 20-10-0008.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Quality indicator: Code A=Excellent. Code B=Very good. Code C=Good. Code D=Acceptable. Code E=Poor, use with caution. Code F=Unreliable (data not published).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 20-10-0056-01  Monthly retail trade sales by province and territory (x 1,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010005601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
